0.01  7.17362	-1.71728
0.01024	7.17113	-1.67364
0.01048	7.16863	-1.44261
0.01072	7.16613	-1.0593
0.01096	7.16363	-0.842006
0.0112	7.16113	-0.957671
0.01144	7.15863	-1.07364
0.01168	7.15613	-0.906095
0.01192	7.15364	-0.737327
0.01216	7.15114	-0.797143
0.0124	7.14864	-0.909452
0.01264	7.14614	-0.8829
0.01288	7.14364	-0.766625
0.01312	7.14114	-0.723899
0.01336	7.13864	-0.798364
0.0136	7.13614	-0.871914
0.01384	7.13365	-0.839869
0.01408	7.13115	-0.773949
0.01432	7.12865	-0.762352
0.01456	7.12615	-0.806604
0.0148	7.12365	-0.822474
0.01504	7.12115	-0.786767
0.01528	7.11865	-0.748009
0.01552	7.11616	-0.756249
0.01576	7.11366	-0.796533
0.016	7.11116	-0.79989
0.01624	7.10866	-0.768761
0.01648	7.10616	-0.75045
0.01672	7.10366	-0.766015
0.01696	7.10116	-0.77456
0.0172	7.09866	-0.774255
0.01744	7.09617	-0.761132
0.01768	7.09367	-0.741905
0.01792	7.09117	-0.745262
0.01816	7.08867	-0.756249
0.0184	7.08617	-0.7416
0.01864	7.08367	-0.732749
0.01888	7.08117	-0.730308
0.01912	7.07867	-0.737938
0.01936	7.07618	-0.74221
0.0196	7.07368	-0.729392
0.01984	7.07118	-0.727561
0.02008	7.06868	-0.73336
0.02032	7.06618	-0.749535
0.02056	7.06368	-0.754723
0.0208	7.06118	-0.737327
0.02104	7.05869	-0.718711
0.02128	7.05619	-0.741295
0.02152	7.05369	-0.762352
0.02176	7.05119	-0.752586
0.022	7.04869	-0.744041
0.02224	7.04619	-0.739158
0.02248	7.04369	-0.741905
0.02272	7.04119	-0.751366
0.02296	7.0387	-0.753502
0.0232	7.0362	-0.740379
0.02344	7.0337	-0.729087
0.02368	7.0312	-0.723594
0.02392	7.0287	-0.723899
0.02416	7.0262	-0.714743
0.0244	7.0237	-0.706504
0.02464	7.0212	-0.693075
0.02488	7.01871	-0.704672
0.02512	7.01621	-0.716575
0.02536	7.01371	-0.719016
0.0256	7.01121	-0.721458
0.02584	7.00871	-0.724204
0.02608	7.00621	-0.718101
0.02632	7.00371	-0.712302
0.02656	7.00122	-0.714438
0.0268	6.99872	-0.714743
0.02704	6.99622	-0.719626
0.02728	6.99372	-0.721152
0.02752	6.99122	-0.707419
0.02776	6.98872	-0.698874
0.028	6.98622	-0.697043
0.02824	6.98372	-0.697653
0.02848	6.98123	-0.690634
0.02872	6.97873	-0.682394
0.02896	6.97623	-0.69277
0.0292	6.97373	-0.696127
0.02944	6.97123	-0.697043
0.02968	6.96873	-0.703452
0.02992	6.96623	-0.702231
0.03016	6.96374	-0.705588
0.0304	6.96124	-0.717185
0.03064	6.95874	-0.714438
0.03088	6.95624	-0.701621
0.03112	6.95374	-0.697653
0.03136	6.95124	-0.70925
0.0316	6.94874	-0.720847
0.03184	6.94624	-0.719626
0.03208	6.94375	-0.710776
0.03232	6.94125	-0.700095
0.03256	6.93875	-0.704062
0.0328	6.93625	-0.702231
0.03304	6.93375	-0.690023
0.03328	6.93125	-0.683309
0.03352	6.92875	-0.707724
0.03376	6.92625	-0.726035
0.034	6.92376	-0.720237
0.03424	6.92126	-0.713218
0.03448	6.91876	-0.707724
0.03472	6.91626	-0.706198
0.03496	6.91376	-0.704672
0.0352	6.91126	-0.693381
0.03544	6.90876	-0.686056
0.03568	6.90627	-0.687582
0.03592	6.90377	-0.683004
0.03616	6.90127	-0.692465
0.0364	6.89877	-0.697348
0.03664	6.89627	-0.699789
0.03688	6.89377	-0.708029
0.03712	6.89127	-0.714133
0.03736	6.88877	-0.712912
0.0376	6.88628	-0.706504
0.03784	6.88378	-0.708335
0.03808	6.88128	-0.713523
0.03832	6.87878	-0.715964
0.03856	6.87628	-0.714133
0.0388	6.87378	-0.711997
0.03904	6.87128	-0.722373
0.03928	6.86878	-0.728172
0.03952	6.86629	-0.719321
0.03976	6.86379	-0.723594
0.04	6.86129	-0.718101
0.04024	6.85879	-0.708945
0.04048	6.85629	-0.7004
0.04072	6.85379	-0.701315
0.04096	6.85129	-0.70101
0.0412	6.8488	-0.700705
0.04144	6.8463	-0.690939
0.04168	6.8438	-0.684835
0.04192	6.8413	-0.687582
0.04216	6.8388	-0.688498
0.0424	6.8363	-0.680868
0.04264	6.8338	-0.678426
0.04288	6.83131	-0.680868
0.04312	6.82881	-0.677816
0.04336	6.82631	-0.671712
0.0436	6.82381	-0.669271
0.04384	6.82131	-0.681478
0.04408	6.81881	-0.687887
0.04432	6.81631	-0.683615
0.04456	6.81381	-0.670186
0.0448	6.81132	-0.679342
0.04504	6.80882	-0.697958
0.04528	6.80632	-0.697958
0.04552	6.80382	-0.679952
0.04576	6.80132	-0.680868
0.046	6.79882	-0.697958
0.04624	6.79632	-0.702231
0.04648	6.79382	-0.691549
0.04672	6.79133	-0.690023
0.04696	6.78883	-0.688192
0.0472	6.78633	-0.683615
0.04744	6.78383	-0.678121
0.04768	6.78133	-0.679647
0.04792	6.77883	-0.687887
0.04816	6.77633	-0.673238
0.0484	6.77384	-0.666524
0.04864	6.77134	-0.665914
0.04888	6.76884	-0.670492
0.04912	6.76634	-0.657979
0.04936	6.76384	-0.645772
0.0496	6.76134	-0.654622
0.04984	6.75884	-0.656758
0.05008	6.75634	-0.653706
0.05032	6.75385	-0.647908
0.05056	6.75135	-0.645772
0.0508	6.74885	-0.646382
0.05104	6.74635	-0.647908
0.05128	6.74385	-0.642415
0.05152	6.74135	-0.646077
0.05176	6.73885	-0.641804
0.052	6.73635	-0.639668
0.05224	6.73386	-0.647603
0.05248	6.73136	-0.648213
0.05272	6.72886	-0.662252
0.05296	6.72636	-0.669881
0.0532	6.72386	-0.664998
0.05344	6.72136	-0.661031
0.05368	6.71886	-0.660421
0.05392	6.71637	-0.65981
0.05416	6.71387	-0.660726
0.0544	6.71137	-0.653401
0.05464	6.70887	-0.655843
0.05488	6.70637	-0.658589
0.05512	6.70387	-0.65157
0.05536	6.70137	-0.640584
0.0556	6.69887	-0.638142
0.05584	6.69638	-0.640278
0.05608	6.69388	-0.642109
0.05632	6.69138	-0.64333
0.05656	6.68888	-0.647603
0.0568	6.68638	-0.654622
0.05704	6.68388	-0.652791
0.05728	6.68138	-0.638142
0.05752	6.67888	-0.625324
0.05776	6.67639	-0.623493
0.058	6.67389	-0.632954
0.05824	6.67139	-0.644551
0.05848	6.66889	-0.650044
0.05872	6.66639	-0.654927
0.05896	6.66389	-0.650349
0.0592	6.66139	-0.632954
0.05944	6.6589	-0.633259
0.05968	6.6564	-0.635395
0.05992	6.6539	-0.632954
0.06016	6.6514	-0.628376
0.0604	6.6489	-0.635395
0.06064	6.6464	-0.651875
0.06088	6.6439	-0.650655
0.06112	6.6414	-0.636616
0.06136	6.63891	-0.625935
0.0616	6.63641	-0.623188
0.06184	6.63391	-0.624714
0.06208	6.63141	-0.62685
0.06232	6.62891	-0.619221
0.06256	6.62641	-0.624104
0.0628	6.62391	-0.622578
0.06304	6.62142	-0.625324
0.06328	6.61892	-0.639668
0.06352	6.61642	-0.650349
0.06376	6.61392	-0.638752
0.064	6.61142	-0.627155
0.06424	6.60892	-0.627155
0.06448	6.60642	-0.629292
0.06472	6.60392	-0.624714
0.06496	6.60143	-0.618915
0.0652	6.59893	-0.613727
0.06544	6.59643	-0.61037
0.06568	6.59393	-0.607624
0.06592	6.59143	-0.594501
0.06616	6.58893	-0.581683
0.0664	6.58643	-0.5768
0.06664	6.58393	-0.584429
0.06688	6.58144	-0.591449
0.06712	6.57894	-0.591754
0.06736	6.57644	-0.581072
0.0676	6.57394	-0.580767
0.06784	6.57144	-0.578936
0.06808	6.56894	-0.565508
0.06832	6.56644	-0.560625
0.06856	6.56395	-0.562456
0.0688	6.56145	-0.56856
0.06904	6.55895	-0.571001
0.06928	6.55645	-0.567339
0.06952	6.55395	-0.563372
0.06976	6.55145	-0.567949
0.07	6.54895	-0.571612
0.07024	6.54645	-0.568865
0.07048	6.54396	-0.563372
0.07072	6.54146	-0.567949
0.07096	6.53896	-0.56093
0.0712	6.53646	-0.554521
0.07144	6.53396	-0.558489
0.07168	6.53146	-0.565813
0.07192	6.52896	-0.568865
0.07216	6.52646	-0.555132
0.0724	6.52397	-0.549028
0.07264	6.52147	-0.546281
0.07288	6.51897	-0.548723
0.07312	6.51647	-0.547807
0.07336	6.51397	-0.540483
0.0736	6.51147	-0.539262
0.07384	6.50897	-0.549638
0.07408	6.50648	-0.546281
0.07432	6.50398	-0.538041
0.07456	6.50148	-0.539567
0.0748	6.49898	-0.542009
0.07504	6.49648	-0.539262
0.07528	6.49398	-0.534684
0.07552	6.49148	-0.537126
0.07576	6.48898	-0.53621
0.076	6.48649	-0.535295
0.07624	6.48399	-0.534684
0.07648	6.48149	-0.541093
0.07672	6.47899	-0.544145
0.07696	6.47649	-0.538957
0.0772	6.47399	-0.535295
0.07744	6.47149	-0.536515
0.07768	6.469	-0.537126
0.07792	6.4665	-0.53621
0.07816	6.464	-0.533464
0.0784	6.4615	-0.523392
0.07864	6.459	-0.523392
0.07888	6.4565	-0.521867
0.07912	6.454	-0.514237
0.07936	6.4515	-0.502945
0.0796	6.44901	-0.501114
0.07984	6.44651	-0.499588
0.08008	6.44401	-0.485549
0.08032	6.44151	-0.468459
0.08056	6.43901	-0.460219
0.0808	6.43651	-0.463271
0.08104	6.43401	-0.470595
0.08128	6.43151	-0.465712
0.08152	6.42902	-0.459609
0.08176	6.42652	-0.460219
0.082	6.42402	-0.456252
0.08224	6.42152	-0.460524
0.08248	6.41902	-0.455641
0.08272	6.41652	-0.448317
0.08296	6.41402	-0.437635
0.0832	6.41153	-0.43611
0.08344	6.40903	-0.43611
0.08368	6.40653	-0.432142
0.08392	6.40403	-0.433058
0.08416	6.40153	-0.436415
0.0844	6.39903	-0.43611
0.08464	6.39653	-0.430311
0.08488	6.39403	-0.424818
0.08512	6.39154	-0.410169
0.08536	6.38904	-0.401624
0.0856	6.38654	-0.396435
0.08584	6.38404	-0.38789
0.08608	6.38154	-0.384533
0.08632	6.37904	-0.363781
0.08656	6.37654	-0.351573
0.0868	6.37404	-0.358592
0.08704	6.37155	-0.360424
0.08728	6.36905	-0.356456
0.08752	6.36655	-0.336009
0.08776	6.36405	-0.329295
0.088	6.36155	-0.344554
0.08824	6.35905	-0.345164
0.08848	6.35655	-0.326548
0.08872	6.35406	-0.317392
0.08896	6.35156	-0.325632
0.0892	6.34906	-0.331736
0.08944	6.34656	-0.314646
0.08968	6.34406	-0.284738
0.08992	6.34156	-0.263375
0.09016	6.33906	-0.252083
0.0904	6.33656	-0.243233
0.09064	6.33407	-0.243233
0.09088	6.33157	-0.231941
0.09112	6.32907	-0.217292
0.09136	6.32657	-0.213019
0.0916	6.32407	-0.210578
0.09184	6.32157	-0.207221
0.09208	6.31907	-0.193182
0.09232	6.31658	-0.193487
0.09256	6.31408	-0.188299
0.0928	6.31158	-0.168767
0.09304	6.30908	-0.152898
0.09328	6.30658	-0.144047
0.09352	6.30408	-0.138859
0.09376	6.30158	-0.138859
0.094	6.29908	-0.126957
0.09424	6.29659	-0.11597
0.09448	6.29409	-0.114139
0.09472	6.29159	-0.101627
0.09496	6.28909	-0.0811792
0.0952	6.28659	-0.0604266
0.09544	6.28409	-0.0512711
0.09568	6.28159	-0.0415052
0.09592	6.27909	-0.0384533
0.09616	6.2766	-0.0231941
0.0964	6.2741	-0.011597
0.09664	6.2716	0.00885037
0.09688	6.2691	0.0302133
0.09712	6.2666	0.0537126
0.09736	6.2641	0.0643941
0.0976	6.2616	0.0689718
0.09784	6.25911	0.0772118
0.09808	6.25661	0.077517
0.09832	6.25411	0.0961333
0.09856	6.25161	0.119938
0.0988	6.24911	0.136723
0.09904	6.24661	0.162358
0.09928	6.24411	0.179449
0.09952	6.24161	0.186773
0.09976	6.23912	0.200812
0.1	6.23662	0.224311
0.10024	6.23412	0.253609
0.10048	6.23162	0.278329
0.10072	6.22912	0.287179
0.10096	6.22662	0.303964
0.1012	6.22412	0.324107
0.10144	6.22162	0.345164
0.10168	6.21913	0.36256
0.10192	6.21663	0.382397
0.10216	6.21413	0.405286
0.1024	6.21163	0.423292
0.10264	6.20913	0.433058
0.10288	6.20663	0.454421
0.10312	6.20413	0.475784
0.10336	6.20164	0.497757
0.1036	6.19914	0.521256
0.10384	6.19664	0.541398
0.10408	6.19414	0.559709
0.10432	6.19164	0.579547
0.10456	6.18914	0.592975
0.1048	6.18664	0.601825
0.10504	6.18414	0.613117
0.10528	6.18165	0.646382
0.10552	6.17915	0.681478
0.10576	6.17665	0.695822
0.106	6.17415	0.712302
0.10624	6.17165	0.75045
0.10648	6.16915	0.788293
0.10672	6.16665	0.811792
0.10696	6.16416	0.83285
0.1072	6.16166	0.858791
0.10744	6.15916	0.888089
0.10768	6.15666	0.903958
0.10792	6.15416	0.923795
0.10816	6.15166	0.936918
0.1084	6.14916	0.957671
0.10864	6.14666	0.991852
0.10888	6.14417	1.02908
0.10912	6.14167	1.04984
0.10936	6.13917	1.06937
0.1096	6.13667	1.09531
0.10984	6.13417	1.12705
0.11008	6.13167	1.14902
0.11032	6.12917	1.17405
0.11056	6.12668	1.19602
0.1108	6.12418	1.21769
0.11104	6.12168	1.25187
0.11128	6.11918	1.28636
0.11152	6.11668	1.30833
0.11176	6.11418	1.3303
0.112	6.11168	1.35197
0.11224	6.10918	1.37181
0.11248	6.10669	1.39714
0.11272	6.10419	1.42338
0.11296	6.10169	1.4481
0.1132	6.09919	1.47008
0.11344	6.09669	1.39592
0.11368	6.09919	1.3892
0.11392	6.10169	1.37547
0.11416	6.10419	1.36418
0.1144	6.10669	1.3538
0.11464	6.10918	1.35228
0.11488	6.11168	1.34312
0.11512	6.11418	1.32206
0.11536	6.11668	1.29948
0.1156	6.11918	1.26896
0.11584	6.12168	1.24729
0.11608	6.12418	1.23478
0.11632	6.12668	1.21128
0.11656	6.12917	1.1832
0.1168	6.13167	1.16276
0.11704	6.13417	1.13926
0.11728	6.13667	1.10538
0.11752	6.13917	1.06143
0.11776	6.14167	1.02573
0.118	6.14417	0.997345
0.11824	6.14666	0.971099
0.11848	6.14916	0.941496
0.11872	6.15166	0.914029
0.11896	6.15416	0.877712
0.1192	6.15666	0.844447
0.11944	6.15916	0.821863
0.11968	6.16166	0.794397
0.11992	6.16416	0.762352
0.12016	6.16665	0.720847
0.1204	6.16915	0.681783
0.12064	6.17165	0.647298
0.12088	6.17415	0.621052
0.12112	6.17665	0.586871
0.12136	6.17915	0.548723
0.1216	6.18165	0.510269
0.12184	6.18414	0.477309
0.12208	6.18664	0.440992
0.12232	6.18914	0.39613
0.12256	6.19164	0.358898
0.1228	6.19414	0.324412
0.12304	6.19664	0.29725
0.12328	6.19914	0.267037
0.12352	6.20164	0.231941
0.12376	6.20413	0.19715
0.124	6.20663	0.160222
0.12424	6.20913	0.123295
0.12448	6.21163	0.0936918
0.12472	6.21413	0.0558489
0.12496	6.21663	0.0155644
0.1252	6.21913	-0.0173956
0.12544	6.22162	-0.0521867
0.12568	6.22412	-0.0772118
0.12592	6.22662	-0.097354
0.12616	6.22912	-0.131535
0.1264	6.23162	-0.172124
0.12664	6.23412	-0.209052
0.12688	6.23662	-0.245674
0.12712	6.23912	-0.279244
0.12736	6.24161	-0.317698
0.1276	6.24411	-0.349132
0.12784	6.24661	-0.369884
0.12808	6.24911	-0.393078
0.12832	6.25161	-0.433973
0.12856	6.25411	-0.471206
0.1288	6.25661	-0.496231
0.12904	6.25911	-0.514847
0.12928	6.2616	-0.543229
0.12952	6.2641	-0.578326
0.12976	6.2666	-0.621967
0.13	6.2691	-0.654012
0.13024	6.2716	-0.679647
0.13048	6.2741	-0.7004
0.13072	6.2766	-0.729087
0.13096	6.27909	-0.760521
0.1312	6.28159	-0.789514
0.13144	6.28409	-0.812708
0.13168	6.28659	-0.841395
0.13192	6.28909	-0.882595
0.13216	6.29159	-0.910367
0.1324	6.29409	-0.924406
0.13264	6.29659	-0.942717
0.13288	6.29908	-0.963775
0.13312	6.30158	-1.00375
0.13336	6.30408	-1.04495
0.1336	6.30658	-1.06876
0.13384	6.30908	-1.0889
0.13408	6.31158	-1.12033
0.13432	6.31408	-1.14261
0.13456	6.31658	-1.15879
0.1348	6.31907	-1.18595
0.13504	6.32157	-1.21891
0.13528	6.32407	-1.23692
0.13552	6.32657	-1.2598
0.13576	6.32907	-1.29063
0.136	6.33157	-1.31932
0.13624	6.33407	-1.33366
0.13648	6.33656	-1.35807
0.13672	6.33906	-1.38218
0.13696	6.34156	-1.40477
0.1372	6.34406	-1.42125
0.13744	6.34656	-1.44017
0.13768	6.34906	-1.45573
0.13792	6.35156	-1.47862
0.13816	6.35406	-1.49358
0.1384	6.35655	-1.49846
0.13864	6.35905	-1.51921
0.13888	6.36155	-1.54027
0.13912	6.36405	-1.56804
0.13936	6.36655	-1.59398
0.1396	6.36905	-1.61596
0.13984	6.37155	-1.63518
0.14008	6.37404	-1.65685
0.14032	6.37654	-1.6657
0.14056	6.37904	-1.67608
0.1408	6.38154	-1.69256
0.14104	6.38404	-1.71056
0.14128	6.38654	-1.72948
0.14152	6.38904	-1.73498
0.14176	6.39154	-1.74535
0.142	6.39403	-1.76519
0.14224	6.39653	-1.78594
0.14248	6.39903	-1.80517
0.14272	6.40153	-1.82806
0.14296	6.40403	-1.84729
0.1432	6.40653	-1.85797
0.14344	6.40903	-1.86895
0.14368	6.41153	-1.88665
0.14392	6.41402	-1.91229
0.14416	6.41652	-1.91778
0.1444	6.41902	-1.90863
0.14464	6.42152	-1.91961
0.14488	6.42402	-1.94647
0.14512	6.42652	-1.9602
0.14536	6.42902	-1.9602
0.1456	6.43151	-1.9715
0.14584	6.43401	-1.99561
0.14608	6.43651	-2.00385
0.14632	6.43901	-2.00842
0.14656	6.44151	-2.01514
0.1468	6.44401	-2.03162
0.14704	6.44651	-2.03589
0.14728	6.44901	-2.03467
0.14752	6.4515	-2.03467
0.14776	6.454	-2.0362
0.148	6.4565	-2.03345
0.14824	6.459	-2.0423
0.14848	6.4615	-2.04321
0.14872	6.464	-2.04688
0.14896	6.4665	-2.04444
0.1492	6.469	-2.04718
0.14944	6.47149	-2.05695
0.14968	6.47399	-2.06122
0.14992	6.47649	-2.04871
0.15016	6.47899	-2.03894
0.1504	6.48149	-2.03681
0.15064	6.48399	-2.03467
0.15088	6.48649	-2.03131
0.15112	6.48898	-2.03009
0.15136	6.49148	-2.03314
0.1516	6.49398	-2.02826
0.15184	6.49648	-2.03589
0.15208	6.49898	-2.04657
0.15232	6.50148	-2.04169
0.15256	6.50398	-2.02673
0.1528	6.50648	-2.00934
0.15304	6.50897	-2.0069
0.15328	6.51147	-2.0127
0.15352	6.51397	-2.01636
0.15376	6.51647	-2.00873
0.154	6.51897	-1.99225
0.15424	6.52147	-1.97943
0.15448	6.52397	-1.97455
0.15472	6.52646	-1.96905
0.15496	6.52896	-1.96478
0.1552	6.53146	-1.95837
0.15544	6.53396	-1.95532
0.15568	6.53646	-1.94555
0.15592	6.53896	-1.93701
0.15616	6.54146	-1.92053
0.1564	6.54396	-1.89703
0.15664	6.54645	-1.8833
0.15688	6.54895	-1.89673
0.15712	6.55145	-1.90497
0.15736	6.55395	-1.90008
0.1576	6.55645	-1.88665
0.15784	6.55895	-1.88147
0.15808	6.56145	-1.88086
0.15832	6.56395	-1.87353
0.15856	6.56644	-1.86682
0.1588	6.56894	-1.85827
